Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0,0100000000 e r= 1,0000000000;0,0037529557;80,0998784743;4.382,6689502671;1,0983554947 
p= 0,0100000000 e r= 2,0000000000;0,0069037345;68,8523557089;574,9756933847;1,6359776862 
p= 0,0100000000 e r= 4,0000000000;0,0350412082;57,2371362352;317,3877508444;5,8623669841 
p= 0,0100000000 e r= 6,0000000000;0,0680855248;50,0989974849;446,7668432197;9,5264719541 
p= 0,1000000000 e r= 1,0000000000;2,1707162850;35,9073875800;645,3172600201;453,2680067794 
p= 0,1000000000 e r= 2,0000000000;8,3155085157;15,8480464720;10.539,9555568621;311,6361763900 
p= 0,1000000000 e r= 4,0000000000;33,5671980496;2,4514795818;6.143,0885644888;323,7335829150 
p= 0,1000000000 e r= 6,0000000000;77,0521253988;3,4316285043;18.839,3420329876;406,3498719233 
p= 0,5000000000 e r= 1,0000000000;23,9824081178;29,8023210268;9.958,1885149934;1.387,9237344921 
p= 0,5000000000 e r= 2,0000000000;89,7953161833;22,7697475027;43.373,4775727460;1.117,2007844333 
p= 0,5000000000 e r= 4,0000000000;396,9243865827;12,8687412160;497.564,6052575740;1.399,6165003988 
p= 0,5000000000 e r= 6,0000000000;906,1531992626;13,3582756014;2.931.415,8643577117;1.921,3734678721 
p= 1,0000000000 e r= 1,0000000000;51,0243687571;39,6165753721;24.516,9055383608;1.320,8337801838 
p= 1,0000000000 e r= 2,0000000000;224,9032311761;52,1449837752;132.652,7459645749;1.611,6105884572 
p= 1,0000000000 e r= 4,0000000000;902,0592783541;40,3107834056;3.589.535,1841587980;1.996,1011545049 
p= 1,0000000000 e r= 6,0000000000;2.029,4279446008;37,4105215753;12.325.137,7533925050;3.017,1223283664 
