Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0.01, r= 1.0, t= 50;321.292,9415346630;95,1065046341;169.867.398.738,7962000000;319.065,1480977657 
p= 0.01, r= 1.0, t= 100;330.845,8404882191;92,6079630219;152.786.045.577,8327000000;309.483,5418691928 
p= 0.01, r= 1.0, t= 1000;301.601,6217112308;94,8357385554;170.821.205.947,4065600000;307.266,3453437406 
p= 0.01, r= 1.0, t= 10000;359.085,1804313104;95,9282924585;203.985.047.891,4524500000;277.962,3516591950 
p= 0.01, r= 2.0, t= 50;304.408,7452414121;95,7063189482;148.975.719.198,3829300000;310.487,1700394792 
p= 0.01, r= 2.0, t= 100;302.691,5277693503;92,9181405888;197.803.283.545,0058600000;324.296,9100257291 
p= 0.01, r= 2.0, t= 1000;353.942,1195889518;94,2362904788;181.145.419.043,3384400000;262.952,5970111607 
p= 0.01, r= 2.0, t= 10000;306.039,1024912946;94,6249867978;109.620.254.461,7944500000;291.480,8338615561 
p= 0.01, r= 4.0, t= 50;267.860,6580606724;92,9341452219;119.237.685.324,6243700000;308.054,2791101843 
p= 0.01, r= 4.0, t= 100;297.236,9876566594;93,8781423794;156.009.578.362,8159200000;282.232,8930782799 
p= 0.01, r= 4.0, t= 1000;302.132,9807473188;93,0620735626;151.748.002.417,5332600000;276.663,9531259412 
p= 0.01, r= 4.0, t= 10000;253.554,9226773372;94,4254029745;165.349.866.987,0236000000;312.961,4050301040 
p= 0.01, r= 6.0, t= 50;274.415,1682429189;86,4119874184;125.969.960.356,3856800000;246.558,2631172746 
p= 0.01, r= 6.0, t= 100;277.279,5695174173;89,9821982179;138.125.809.414,3947800000;292.620,0779560931 
p= 0.01, r= 6.0, t= 1000;298.938,6517950086;89,6367050767;150.521.424.016,8229700000;286.943,3234308846 
p= 0.01, r= 6.0, t= 10000;246.574,9304325691;93,2458297118;110.180.441.704,9339000000;264.456,7851327433 
p= 0.1, r= 1.0, t= 50;273.430,4302012231;90,0217232846;185.058.996.861,7542700000;266.152,4296955363 
p= 0.1, r= 1.0, t= 100;323.110,6037185637;94,5385612202;159.692.151.080,6117600000;290.995,2391033305 
p= 0.1, r= 1.0, t= 1000;286.154,4879315738;94,2235559633;162.322.459.813,6799600000;283.819,1293964722 
p= 0.1, r= 1.0, t= 10000;266.439,3067785466;91,7924119420;130.842.203.845,0932800000;302.056,3949307145 
p= 0.1, r= 2.0, t= 50;288.976,9544206659;92,2933916133;112.442.294.107,0964800000;278.484,1819133095 
p= 0.1, r= 2.0, t= 100;257.913,0955678214;92,1227323953;127.410.380.552,9070000000;278.851,7824974008 
p= 0.1, r= 2.0, t= 1000;263.335,7087854285;92,7482768895;134.277.370.024,1993900000;286.092,9541744602 
p= 0.1, r= 2.0, t= 10000;226.634,2321628666;92,1637353269;137.636.276.245,5902700000;266.561,0431147592 
p= 0.1, r= 4.0, t= 50;252.400,7786357639;91,3817700714;133.931.576.613,3098800000;266.046,3058717374 
p= 0.1, r= 4.0, t= 100;242.281,4083967545;90,0333039927;138.470.487.116,0807000000;277.449,2720409404 
p= 0.1, r= 4.0, t= 1000;259.806,6090942814;89,4586379703;106.563.072.457,7088300000;235.792,6709126610 
p= 0.1, r= 4.0, t= 10000;252.791,9090992855;90,8699683976;107.006.847.690,8964400000;259.805,7108602473 
p= 0.1, r= 6.0, t= 50;233.595,1449718290;89,2096451458;108.649.417.475,1161700000;241.446,3613486170 
p= 0.1, r= 6.0, t= 100;233.351,1950316152;85,6421786593;95.116.296.337,5049100000;243.677,2638646601 
p= 0.1, r= 6.0, t= 1000;219.399,2343586996;89,9303134781;103.634.742.499,9716800000;237.966,0578507672 
p= 0.1, r= 6.0, t= 10000;249.252,1338832122;89,7540682136;104.953.227.884,3607200000;250.133,3929712272 
p= 0.5, r= 1.0, t= 50;301.234,8326298069;88,2917257162;152.371.794.366,2868000000;291.350,5601581120 
p= 0.5, r= 1.0, t= 100;275.287,8933762868;92,0095723973;144.979.888.698,7435600000;264.287,8717934169 
p= 0.5, r= 1.0, t= 1000;264.106,4627603439;89,6358679397;153.047.934.018,4385700000;268.052,2441022549 
p= 0.5, r= 1.0, t= 10000;286.032,7110430025;90,9743223483;151.448.895.253,2103600000;287.658,8404248682 
p= 0.5, r= 2.0, t= 50;274.878,6925452848;88,4057773481;123.523.236.055,3634500000;242.101,8625599021 
p= 0.5, r= 2.0, t= 100;231.266,4374092794;90,8286292328;129.067.480.842,8058800000;257.576,3119378769 
p= 0.5, r= 2.0, t= 1000;234.131,0088514070;90,6503718500;130.337.077.542,4526800000;260.064,5268530340 
p= 0.5, r= 2.0, t= 10000;242.762,4626372402;91,2164703538;120.234.609.310,0050400000;251.879,7383769926 
p= 0.5, r= 4.0, t= 50;233.136,1670114159;90,0032606925;108.110.235.156,9193100000;230.890,4924869699 
p= 0.5, r= 4.0, t= 100;235.330,1105949446;88,3480172703;110.333.613.347,3689000000;212.940,6262405968 
p= 0.5, r= 4.0, t= 1000;233.428,6507816965;88,8705431679;114.966.169.895,1528200000;223.734,8070342832 
p= 0.5, r= 4.0, t= 10000;233.654,6238941182;88,6210199722;107.888.602.801,4175600000;238.364,4969152392 
p= 0.5, r= 6.0, t= 50;228.353,7211300998;88,1394782055;106.625.081.573,2068500000;229.354,6451313474 
p= 0.5, r= 6.0, t= 100;201.875,6785977026;88,9703147300;112.172.338.585,5703700000;243.963,8089886986 
p= 0.5, r= 6.0, t= 1000;211.716,8785533542;87,2137850283;113.056.232.476,9249700000;223.043,5672750656 
p= 0.5, r= 6.0, t= 10000;210.807,7927786250;88,9889667794;94.890.085.420,5937200000;183.432,2406681525 
p= 1.0, r= 1.0, t= 50;266.749,9980729078;90,6708440723;134.011.550.541,2436400000;257.625,8131554553 
p= 1.0, r= 1.0, t= 100;263.069,2099252484;91,1628597339;128.370.434.902,0911300000;262.490,2276978891 
p= 1.0, r= 1.0, t= 1000;240.735,1499082293;90,8437746904;124.225.619.664,7011900000;271.205,8485759211 
p= 1.0, r= 1.0, t= 10000;272.742,8510531703;91,5545034603;114.328.788.066,0995800000;269.713,8761312109 
p= 1.0, r= 2.0, t= 50;262.719,8028645537;88,3487086205;120.300.124.198,0024100000;231.749,6911839162 
p= 1.0, r= 2.0, t= 100;244.555,8450524149;90,1887763896;119.447.064.560,1468500000;266.217,8880596462 
p= 1.0, r= 2.0, t= 1000;234.613,7691045894;87,7947680659;102.390.641.509,5696700000;261.703,6598669605 
p= 1.0, r= 2.0, t= 10000;241.527,4496798122;90,2652604735;107.281.743.709,0255900000;251.075,5672153230 
p= 1.0, r= 4.0, t= 50;231.276,5726689636;86,2922187396;88.188.003.911,8083300000;233.207,3802252079 
p= 1.0, r= 4.0, t= 100;225.844,3678103053;87,6408730452;113.671.809.844,4393300000;224.499,3087178346 
p= 1.0, r= 4.0, t= 1000;231.567,2007178946;85,8945514674;103.681.449.936,8924400000;232.302,4853664833 
p= 1.0, r= 4.0, t= 10000;234.951,1073846996;87,8973072256;99.811.072.550,6703300000;232.812,2060189207 
p= 1.0, r= 6.0, t= 50;205.434,7006440871;87,0320862592;100.553.229.333,5323200000;217.382,1271620851 
p= 1.0, r= 6.0, t= 100;223.080,1066349556;86,6265742538;105.497.888.919,0802300000;218.245,9668107781 
p= 1.0, r= 6.0, t= 1000;223.605,2545785222;89,0224588387;99.295.332.986,5295400000;215.811,0286838998 
p= 1.0, r= 6.0, t= 10000;214.671,3215046154;86,2934641721;104.292.164.814,1193800000;228.045,3917287081 
