Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 0.01, r= 1.0, n= 5, t= 50;0,3913873286;60,9186065188;7.767,9280846801;50,4866804754 
p= 0.01, r= 1.0, n= 5, t= 100;0,3858160152;60,3790058429;648,3221372751;64,1305494908 
p= 0.01, r= 1.0, n= 5, t= 1000;0,3123771772;62,3221343963;1.113,3194648418;73,4717320653 
p= 0.01, r= 1.0, n= 5, t= 10000;0,3773360967;64,0728715634;885,8137910308;49,2066473035 
p= 0.01, r= 1.0, n= 20, t= 50;0,9781693138;70,3374610682;5.594,8298988150;436,4653529583 
p= 0.01, r= 1.0, n= 20, t= 100;2,5463194031;76,3034726522;666.165,9398780916;622,9486486350 
p= 0.01, r= 1.0, n= 20, t= 1000;0,5392043980;74,8664161790;3.564.724,4509208174;699,8868028434 
p= 0.01, r= 1.0, n= 20, t= 10000;0,1583889584;77,4112002324;475.044,6925920960;3.221,2658518494 
p= 0.01, r= 1.0, n= 100, t= 50;167.908,0232079537;78,3911820870;29.321.935.829,3773040000;158.449,9642862046 
p= 0.01, r= 1.0, n= 100, t= 100;193.537,0467401516;83,8182683230;33.193.573.253,9465940000;158.362,5873499665 
p= 0.01, r= 1.0, n= 100, t= 1000;161.129,1774692207;75,2201560055;47.144.206.990,8899100000;154.464,8178974776 
p= 0.01, r= 1.0, n= 100, t= 10000;157.176,4443583596;76,2037763794;32.821.897.510,8557400000;207.316,7575450092 
p= 0.01, r= 1.0, n= 1000, t= 50;353.559,7328408580;89,2973177126;186.409.933.016,7600000000;286.667,3643121795 
p= 0.01, r= 1.0, n= 1000, t= 100;336.393,2791193643;92,5268558623;191.301.850.570,7571700000;376.974,0112998059 
p= 0.01, r= 1.0, n= 1000, t= 1000;288.376,2633193395;89,3789141143;176.321.649.523,9904200000;298.115,6190243138 
p= 0.01, r= 1.0, n= 1000, t= 10000;266.955,1768283563;89,4701894249;185.356.353.893,2496600000;331.848,7444845097 
p= 0.01, r= 2.0, n= 5, t= 50;1,2805529938;47,2083323996;409,4110823999;65,8714338127 
p= 0.01, r= 2.0, n= 5, t= 100;1,2407696341;47,4297490866;468,5600334919;84,8023543504 
p= 0.01, r= 2.0, n= 5, t= 1000;1,2904636969;42,4011705837;385,3093703413;77,1361860416 
p= 0.01, r= 2.0, n= 5, t= 10000;1,4604837780;42,7195300304;312,1245842040;81,3622555404 
p= 0.01, r= 2.0, n= 20, t= 50;0,0226618716;58,2134176321;265,7644691840;4,1996939793 
p= 0.01, r= 2.0, n= 20, t= 100;0,0345594071;59,8955349037;266,2148100997;6,0037537988 
p= 0.01, r= 2.0, n= 20, t= 1000;0,0183237820;63,7061950769;1.333,2272424342;4,5351422070 
p= 0.01, r= 2.0, n= 20, t= 10000;0,0206251301;63,8726258815;257,8293833392;4,2160901865 
p= 0.01, r= 2.0, n= 100, t= 50;50.331,0284537863;68,9695727268;4.248.484.939,8286390000;35.170,6442760746 
p= 0.01, r= 2.0, n= 100, t= 100;45.184,4690595805;69,1667218720;1.843.723.292,3359315000;40.467,5804417848 
p= 0.01, r= 2.0, n= 100, t= 1000;57.823,9408296904;65,1640975160;7.595.078.089,3631115000;48.952,9981115986 
p= 0.01, r= 2.0, n= 100, t= 10000;38.500,1206083165;67,9282260329;2.056.005.357,5754880000;52.759,4239381094 
p= 0.01, r= 2.0, n= 1000, t= 50;244.409,9549548536;84,5503253653;156.042.715.661,0678700000;208.185,6874700296 
p= 0.01, r= 2.0, n= 1000, t= 100;300.755,0948224806;86,9358914393;142.470.381.415,5480700000;250.737,3186506938 
p= 0.01, r= 2.0, n= 1000, t= 1000;221.132,2307413570;85,5791924495;152.960.453.929,5010400000;305.776,6418364181 
p= 0.01, r= 2.0, n= 1000, t= 10000;255.366,6857480013;85,8069254626;122.684.491.238,9841500000;299.723,6513771869 
p= 0.01, r= 4.0, n= 5, t= 50;5,3528537015;13,7383503531;9.106,3273592612;143,7271960359 
p= 0.01, r= 4.0, n= 5, t= 100;4,3215641071;11,2484889181;1.148,2648561524;115,9643304806 
p= 0.01, r= 4.0, n= 5, t= 1000;3,5571087381;14,4286980572;1.237,0646671404;128,3502523284 
p= 0.01, r= 4.0, n= 5, t= 10000;4,6786081965;17,4017781438;2.078,5436430188;116,4170341356 
p= 0.01, r= 4.0, n= 20, t= 50;0,0354241571;43,6375897037;350,1230999292;10,8339468794 
p= 0.01, r= 4.0, n= 20, t= 100;0,0657745060;44,0759606455;361,2546971248;6,7073036567 
p= 0.01, r= 4.0, n= 20, t= 1000;0,0437741754;39,9820206356;10.106,7357636248;9,2820174498 
p= 0.01, r= 4.0, n= 20, t= 10000;0,0420412723;41,3216260638;392,5549672797;7,3860080674 
p= 0.01, r= 4.0, n= 100, t= 50;1,4693181173;49,5220687982;3.104,3784533934;92,4747356231 
p= 0.01, r= 4.0, n= 100, t= 100;3,5027617735;57,5801543071;1.698,3476264381;166,6971725900 
p= 0.01, r= 4.0, n= 100, t= 1000;3,2326576888;60,1083854915;3.867,8226224578;202,4703035376 
p= 0.01, r= 4.0, n= 100, t= 10000;3,1120798364;58,0971838188;6.777,8439136078;88,5510659193 
p= 0.01, r= 4.0, n= 1000, t= 50;264.252,5908317157;80,2585949981;101.683.407.737,1680800000;227.232,6990230478 
p= 0.01, r= 4.0, n= 1000, t= 100;227.019,0361161920;78,6686179536;73.651.398.003,4375000000;241.150,9197797855 
p= 0.01, r= 4.0, n= 1000, t= 1000;225.781,3035903700;80,0896109195;90.206.486.434,1390200000;233.873,2804650505 
p= 0.01, r= 4.0, n= 1000, t= 10000;203.075,4793095186;73,2610699243;85.432.166.440,0494200000;213.865,0334993768 
p= 0.01, r= 6.0, n= 5, t= 50;9,6680713583;5,8579522203;3.198,3440347988;158,2651667645 
p= 0.01, r= 6.0, n= 5, t= 100;13,1874317924;7,1566583244;2.795,2196939835;196,7070148797 
p= 0.01, r= 6.0, n= 5, t= 1000;12,7115776986;4,1528776403;2.603,9524759903;176,0580705659 
p= 0.01, r= 6.0, n= 5, t= 10000;11,0466582598;3,0767194556;2.224,6502883711;184,9058922457 
p= 0.01, r= 6.0, n= 20, t= 50;0,0836548760;32,8765520178;442,9093270743;10,5142394178 
p= 0.01, r= 6.0, n= 20, t= 100;0,0525074490;31,8115721027;279,9784224572;10,9567203152 
p= 0.01, r= 6.0, n= 20, t= 1000;0,0858635275;27,0223724818;313,5910167023;13,5334023307 
p= 0.01, r= 6.0, n= 20, t= 10000;0,0530223834;28,0216701099;415,0650680232;10,5790583702 
p= 0.01, r= 6.0, n= 100, t= 50;0,9595794043;52,6879324169;631,4520228578;38,6743480806 
p= 0.01, r= 6.0, n= 100, t= 100;0,5951866042;53,4734953777;4.139,6375396071;51,6125811116 
p= 0.01, r= 6.0, n= 100, t= 1000;1,2578953268;46,0597332917;695,2167086312;43,7508623846 
p= 0.01, r= 6.0, n= 100, t= 10000;0,7755451312;55,8719537644;671,3614207720;54,2324568390 
p= 0.01, r= 6.0, n= 1000, t= 50;174.982,1117110107;74,1269275804;77.798.356.726,7114300000;175.815,5882907074 
p= 0.01, r= 6.0, n= 1000, t= 100;199.183,2001488286;72,5970408917;64.195.786.438,5876400000;177.988,0205930926 
p= 0.01, r= 6.0, n= 1000, t= 1000;170.405,4136743527;73,9181864824;70.911.832.805,8709000000;175.979,5275097287 
p= 0.01, r= 6.0, n= 1000, t= 10000;149.357,8839204320;77,0017843824;33.816.065.731,2133260000;109.243,9896277102 
p= 0.1, r= 1.0, n= 5, t= 50;27,6177389484;2,1952314687;5.562,4544227316;960,3489150576 
p= 0.1, r= 1.0, n= 5, t= 100;29,1256404157;2,0661012632;5.886,7946470816;900,4099775707 
p= 0.1, r= 1.0, n= 5, t= 1000;29,7971269143;2,1844387984;7.313,9150358294;943,5481347767 
p= 0.1, r= 1.0, n= 5, t= 10000;27,9487305080;2,3222167934;6.972,6883303613;948,6365400751 
p= 0.1, r= 1.0, n= 20, t= 50;13,0837672896;15,6479438252;2.394,4566813104;692,8440290953 
p= 0.1, r= 1.0, n= 20, t= 100;10,9504642614;25,7722797748;1.774,8668891764;694,4811494279 
p= 0.1, r= 1.0, n= 20, t= 1000;13,7677835288;21,1240552099;1.979,6484754493;666,9962763906 
p= 0.1, r= 1.0, n= 20, t= 10000;12,4574857035;14,1370819325;2.841,2116164455;640,4663826731 
p= 0.1, r= 1.0, n= 100, t= 50;11.289,9332690313;59,3415484927;451.062.552,4566971700;17.924,6145784186 
p= 0.1, r= 1.0, n= 100, t= 100;24.807,9596292549;59,8281910956;663.394.078,1546751000;25.303,9166087982 
p= 0.1, r= 1.0, n= 100, t= 1000;9.710,5774218038;58,8088570960;331.796.295,5309692600;17.434,9130467525 
p= 0.1, r= 1.0, n= 100, t= 10000;7.114,7825153171;58,7655164194;92.086.034,3042052700;15.214,2481088110 
p= 0.1, r= 1.0, n= 1000, t= 50;233.135,9421482086;85,6898168246;135.849.368.941,8942400000;255.331,3392293096 
p= 0.1, r= 1.0, n= 1000, t= 100;234.817,0151233975;85,6025968253;131.869.163.235,8198500000;274.876,3847394983 
p= 0.1, r= 1.0, n= 1000, t= 1000;258.082,3678051969;84,4419129084;102.143.732.230,3905600000;292.916,2965001915 
p= 0.1, r= 1.0, n= 1000, t= 10000;277.052,3976653692;83,1107297498;109.543.725.589,2934100000;258.929,7949839826 
p= 0.1, r= 2.0, n= 5, t= 50;114,5603952648;4,2454160432;53.202,4797132050;983,2434870154 
p= 0.1, r= 2.0, n= 5, t= 100;110,4129247588;4,1684959318;53.687,6026282709;986,8313184168 
p= 0.1, r= 2.0, n= 5, t= 1000;97,3159275493;4,1172037575;53.509,5212958490;1.027,8657480585 
p= 0.1, r= 2.0, n= 5, t= 10000;111,2746514080;3,9436773445;50.739,4404485703;1.001,2405208639 
p= 0.1, r= 2.0, n= 20, t= 50;50,3779759334;1,9942333455;17.975,8191606469;706,1052863039 
p= 0.1, r= 2.0, n= 20, t= 100;47,6595811028;2,0184304532;13.692,6658602667;755,0333114118 
p= 0.1, r= 2.0, n= 20, t= 1000;49,9284339493;2,1393567822;12.398,9298793367;747,0267506530 
